[INFO ] 2025-10-23 16:36:39,058 [repository-manager-0 | c.o.t.OwlimSchemaRepository] Registering external plugins...
[INFO ] 2025-10-23 16:36:39,315 [repository-manager-0 | c.o.t.p.g.FunctionLoader] Registered 1 functions from package com.ontotext.trree.plugin.geo.
[INFO ] 2025-10-23 16:36:39,366 [repository-manager-0 | c.o.t.s.i.PluginManager] Initializing plugins: GeoSPARQL, autocomplete, change-tracking, chatgpt-retrieval-connector, dependencies-plugin, direct, elasticsearch-connector, entity-change, expose-entity, geospatial, history, kafka-connector, literals-index, lucene-connector, magic-predicates, mongodb, notifications, notifications-logger, opensearch-connector, plugincontrol, proof, rdfrank, script, sequences, similarity, solr-connector, sparql-mm, sparql-template, text-mining, tx-rollback, utils
[INFO ] 2025-10-23 16:36:40,275 [repository-manager-0 | c.o.t.g.FunctionLoader] Registered 50 functions from package com.useekm.geosparql.
[INFO ] 2025-10-23 16:36:40,281 [repository-manager-0 | c.o.t.p.a.AutocompletePluginUtils] >>>>>>>> AutocompletePlugin: No configuration file found at /opt/graphdb/home/data/repositories/fdp/storage/autocomplete/v2/config.properties. Assuming default options for plugin.
[INFO ] 2025-10-23 16:36:40,358 [repository-manager-0 | c.o.t.p.g.GeoSpatialPlugin] Plugin:geospatial initialized
[INFO ] 2025-10-23 16:36:40,383 [repository-manager-0 | c.o.t.e.EntityPoolFactory] Using entity pool implementation: transactional-disk
[INFO ] 2025-10-23 16:36:40,389 [repository-manager-0 | c.o.c.AbstractParameter] Configured parameter 'storage-folder' to value '/opt/graphdb/home/data/repositories/fdp/storage/history/tx-metadata'
[INFO ] 2025-10-23 16:36:40,393 [repository-manager-0 | c.o.c.AbstractParameter] Configured parameter 'entity-index-size' to value '97.7K'
[INFO ] 2025-10-23 16:36:40,572 [repository-manager-0 | c.o.p.literals-index] Full-text search functionality is disabled
[INFO ] 2025-10-23 16:36:40,604 [repository-manager-0 | c.o.p.literals-index] Rebuilding literals indexes. Starting from id: 1
[INFO ] 2025-10-23 16:36:40,661 [repository-manager-0 | c.o.p.literals-index] Complete in 0.053, num entries indexed:0
[INFO ] 2025-10-23 16:36:40,687 [repository-manager-0 | c.o.t.p.p.PluginControlPlugin] Plugin:plugincontrol initialized
[INFO ] 2025-10-23 16:36:41,184 [repository-manager-0 | c.o.g.s.FunctionLoader] Registered 58 functions from package com.github.tkurz.sparqlmm.function.
[INFO ] 2025-10-23 16:36:41,454 [repository-manager-0 | c.o.t.s.i.PluginManager] Finished initializing plugins
[INFO ] 2025-10-23 16:36:41,456 [repository-manager-0 | c.o.t.MemoryConfig] Configured global page cache size to 489 MB
[INFO ] 2025-10-23 16:36:41,458 [repository-manager-0 | c.o.t.MemoryConfig] Max Heap Size: 1 GB
[INFO ] 2025-10-23 16:36:41,458 [repository-manager-0 | c.o.t.MemoryConfig] Initial Heap Size: 1 GB
[INFO ] 2025-10-23 16:36:41,668 [repository-manager-0 | c.o.r.p.ParallelLoader] Data will be parsed + resolved + loaded.
[INFO ] 2025-10-23 16:36:41,678 [repository-manager-0 | c.o.r.p.ParallelLoader] Using 1 threads for inference
[INFO ] 2025-10-23 16:36:41,933 [repositories/fdp | o.e.r.h.s.r.n.NamespacesController] GET namespace list
[INFO ] 2025-10-23 16:36:42,050 [repositories/fdp | o.e.r.h.s.r.TupleQueryResultView] Request for query 3392903 is finished
[INFO ] 2025-10-23 16:36:42,056 [repositories/fdp | o.e.r.h.s.r.n.NamespacesController] GET namespace list
[INFO ] 2025-10-23 16:36:42,063 [repositories/fdp | o.e.r.h.s.r.TupleQueryResultView] Request for query 3392903 is finished
[INFO ] 2025-10-23 16:36:58,283 [repositories/fdp | o.e.r.h.s.r.n.NamespacesController] GET namespace list
[INFO ] 2025-10-23 16:36:58,292 [repositories/fdp | o.e.r.h.s.r.TupleQueryResultView] Request for query 3392903 is finished
[INFO ] 2025-10-23 16:40:29,675 [http-nio-7200-exec-6 | o.e.r.h.s.r.TupleQueryResultView] Request for query 3392903 is finished
[INFO ] 2025-10-23 16:40:33,249 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:40:33,290 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:40:33,340 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:33,375 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:33,382 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:33,984 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:34,114 [repositories/fdp | o.e.r.h.s.r.TupleQueryResultView] Request for query 3392903 is finished
